"1788 Naubert,-Benedikte Herrmann von Unna","in jenem glücklichen Alter,",in,"welchem
 uns der Unterschied zwischen",166992,166995
"1788 Naubert,-Benedikte Herrmann von Unna",Freudenthränen schlossen beyde Damen sich,in,"die Arme
. Auch ich",664262,664265
"1788 Naubert,-Benedikte Herrmann von Unna","Bruder ist der unselige,",in,"dessen Hände
 du fallen
 mußt",524190,524193
"1788 Naubert,-Benedikte Herrmann von Unna","Gelübde ablegen werde, und",in,"sich
 nicht den mindesten Beruf",834136,834139
"1788 Naubert,-Benedikte Herrmann von Unna",mir die Fruchtlosigkeit beider Rettungsmittel,in,"die Augen
 leuchtete, da",121047,121050
"1788 Naubert,-Benedikte Herrmann von Unna",Anstrengung verloren; sie ward,in,"ihrem Hause
 mürrisch und ungestüm",174358,174361
"1788 Naubert,-Benedikte Herrmann von Unna",", welche sich endlich auch",in,"das Herz
 des Mädchens einschleichen",76307,76310
"1788 Naubert,-Benedikte Herrmann von Unna","gekommen
 war und den Entschluß",in,"ihm
 bestätiget hatte, welcher",795167,795170
"1788 Naubert,-Benedikte Herrmann von Unna","zu übersteigen dünkten, hatten",in,"dem Auge
 des weisern Greises",786535,786538
"1788 Naubert,-Benedikte Herrmann von Unna","es sonst möglich gewesen,",in,"einem anfangs tiefdenkend dastehenden,",407969,407972
"1788 Naubert,-Benedikte Herrmann von Unna",", die Stirnen
 noch tiefer",in,"Falten
gelegt
 wurden, und",621469,621472
"1788 Naubert,-Benedikte Herrmann von Unna",durch Verschweigung seines Unglücks bisher,in,"seinem gewöhnlichen Stande geblieben,",544741,544744
"1788 Naubert,-Benedikte Herrmann von Unna","erwählt, die junge Gräfinn",in,"dem Staatswagen Sophiens
abzuholen
 und",301316,301319
"1788 Naubert,-Benedikte Herrmann von Unna","einen Brief
 mit den obengemeldeten",in,"die Hände
kommen
 zu lassen",197473,197476
"1788 Naubert,-Benedikte Herrmann von Unna","aufhob.
Herrmann fand
 sich",in,seinem nachmaligen Stande zu glücklich,477887,477890
"1788 Naubert,-Benedikte Herrmann von Unna",Die Kränkungen der unglücklichen Gräfinn,in,"diesem Aufenthalt
 des Schreckens waren",702387,702390
"1788 Naubert,-Benedikte Herrmann von Unna",nicht gewohnt Misbilligung seiner Handlungen,in,"den Augen
 seines Dieners zu",373218,373221
"1788 Naubert,-Benedikte Herrmann von Unna","und  schloß
 den erstaunten Herrmann",in,"seine Arme
. Mein Bruder",576042,576045
"1788 Naubert,-Benedikte Herrmann von Unna","besuchte
, den Wunsch,",in,die Dienste seines Königs aufgenommen,122151,122154
"1788 Naubert,-Benedikte Herrmann von Unna",Graf Viktor von Mayland lebte,in,"heimlicher Fehde
 mit einem Fürsten",57200,57203
"1788 Naubert,-Benedikte Herrmann von Unna","in dem frohen Taumel,",in,"welchem
 er und alle seine",60748,60751
"1788 Naubert,-Benedikte Herrmann von Unna","diejenige fühlte, welche sich",in,"den Platz
 ihrer angebeteten Gebieterinn",314766,314769
"1788 Naubert,-Benedikte Herrmann von Unna","Mutter ermangelte nicht, gewaltig",in,"die Posaune zu stoßen
,",171424,171427
