1830 Stendhal Rot und Schwarz,ihr weiblicher Stolz. Unduldsam,rief,sie aus: »Im,717722,717727
1830 Stendhal Rot und Schwarz,"seiner großen
 Tatkraft!«",rief,"ihr Bruder aus
. »",680192,680197
1830 Stendhal Rot und Schwarz,".
                                     »Optime!«",rief,der biedere Priester. »,412505,412510
1830 Stendhal Rot und Schwarz,Was soll das?«,rief,"er sich zu
. »",963156,963161
1830 Stendhal Rot und Schwarz,Grund zum Duell!«,rief,"er.
»Das will",582086,582091
1830 Stendhal Rot und Schwarz,"«
»Ich,«",rief,"sie aus, indem sie",256795,256800
1830 Stendhal Rot und Schwarz,"schlecht von
ihm
!«",rief,Falcoz. »Zu keiner,499856,499861
1830 Stendhal Rot und Schwarz,Ich bin ruiniert!«,rief,"er Julian zu
. »",835216,835221
1830 Stendhal Rot und Schwarz,". »Schau
!«",rief,"Julians Gewissen ihm zu
.",312492,312497
1830 Stendhal Rot und Schwarz,dulde ich nicht!«,rief,"sie laut aus
.
Rasend",889444,889449
1830 Stendhal Rot und Schwarz,"Nagelschmied. In
 seinem Zorn",rief,der Mann aus: »,47831,47836
1830 Stendhal Rot und Schwarz,".
»Unerhört!«",rief,sie außer sich. »,889788,889793
1830 Stendhal Rot und Schwarz,"gehorchen Sie!«
Dann",rief,er ihn noch einmal zurück,408911,408916
1830 Stendhal Rot und Schwarz,eine Melodie Mozarts!«,rief,"Frau Derville.
Das Land",113448,113453
1830 Stendhal Rot und Schwarz,"«
Fräulein von La Mole",rief,"ihren Bruder, als er",610431,610436
1830 Stendhal Rot und Schwarz,danke ich dir!«,rief,"er in
 seinem Wahnsinn aus",901443,901448
1830 Stendhal Rot und Schwarz,! Die Diebe!«,rief,der Abbé. »Daran,414103,414108
1830 Stendhal Rot und Schwarz,"Kirche
. Der Abbé Chas-Bernard",rief,mehrere Male nach Julian.,418813,418818
1830 Stendhal Rot und Schwarz,sich zum Teufel!«,rief,ihm der Marquis nach.,924006,924011
